Location,Tags
"urn:cite:shot:epigimg.IMG_5796@0.553,0.4093,0.187,0.0573",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5796@0.192,0.472,0.118,0.056",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5796@0.309,0.464,0.146,0.056",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5796@0.495,0.4587,0.223,0.0573",urn:cite:hclat:topic.genpl1
"urn:cite:shot:epigimg.IMG_5796@0.186,0.5187,0.201,0.052",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5796@0.372,0.5093,0.074,0.056",urn:cite:hclat:topic.gensg5
"urn:cite:shot:epigimg.IMG_5796@0.191,0.5587,0.178,0.06",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5796@0.543,0.5413,0.186,0.0627",urn:cite:hclat:topic.genpl2
"urn:cite:shot:epigimg.IMG_5796@0.186,0.6147,0.069,0.0493",urn:cite:hclat:topic.adv
"urn:cite:shot:epigimg.IMG_5796@0.525,0.5867,0.164,0.0533",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5796@0.193,0.6533,0.082,0.0587",urn:cite:hclat:topic.relpro
"urn:cite:shot:epigimg.IMG_5796@0.272,0.6507,0.132,0.0493",urn:cite:hclat:topic.datsg2
